Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Country
3/16/2020,17,0,0,17,134,5,8,121,Indonesia
3/16/2020,0,0,2,-2,9,2,13,-6,Indonesia
3/16/2020,1,0,0,1,7,9,11,-13,Indonesia
3/16/2020,1,0,0,1,6,0,2,4,Indonesia
3/16/2020,0,0,0,0,2,0,3,-1,Indonesia
3/16/2020,2,0,0,2,3,0,0,3,Indonesia
3/17/2020,0,0,0,0,1,1,3,-3,Indonesia
3/17/2020,0,1,3,-4,6,8,109,-111,Indonesia
3/17/2020,2,1,0,1,65,34,49,-18,Indonesia
3/17/2020,0,0,0,0,1,0,1,0,Indonesia
3/17/2020,38,0,1,37,172,5,9,158,Indonesia
3/17/2020,11,0,0,11,20,2,13,5,Indonesia
3/17/2020,1,0,1,0,8,9,12,-13,Indonesia
3/17/2020,1,0,0,1,7,0,2,5,Indonesia
3/17/2020,0,0,0,0,2,0,3,-1,Indonesia
3/17/2020,0,0,0,0,3,0,0,3,Indonesia
3/17/2020,1,1,0,0,1,1,0,0,Indonesia
3/18/2020,0,0,0,0,1,1,3,-3,Indonesia
3/18/2020,0,1,1,-2,6,9,110,-113,Indonesia
3/18/2020,1,1,0,0,66,35,49,-18,Indonesia
3/18/2020,0,0,0,0,1,0,1,0,Indonesia
3/18/2020,55,14,2,39,227,19,11,197,Indonesia
3/18/2020,4,1,2,1,24,3,15,6,Indonesia
3/18/2020,3,1,0,2,11,10,12,-11,Indonesia
3/18/2020,7,1,0,6,18,33,215,-230,Indonesia
3/18/2020,0,0,0,0,7,0,2,5,Indonesia
3/18/2020,0,0,0,0,2,0,3,-1,Indonesia
3/18/2020,0,0,0,0,3,0,0,3,Indonesia
3/18/2020,0,0,0,0,1,1,0,0,Indonesia
3/19/2020,1,1,0,0,2,2,3,-3,Indonesia
3/19/2020,0,1,3,-4,6,10,113,-117,Indonesia
3/19/2020,2,0,1,1,68,35,50,-17,Indonesia
3/19/2020,0,0,0,0,1,0,1,0,Indonesia
3/19/2020,82,6,4,72,309,25,15,269,Indonesia
3/19/2020,5,1,1,3,29,4,16,9,Indonesia
3/19/2020,2,0,0,2,13,10,12,-9,Indonesia
3/19/2020,3,0,0,3,21,33,215,-227,Indonesia
3/19/2020,0,0,0,0,7,0,2,5,Indonesia
3/19/2020,1,1,0,0,1,1,0,0,Indonesia
3/19/2020,0,0,0,0,2,0,3,-1,Indonesia
3/19/2020,2,0,0,2,2,0,1,1,Indonesia
3/19/2020,0,0,0,0,3,0,0,3,Indonesia
3/19/2020,0,0,0,0,1,1,0,0,Indonesia
3/20/2020,0,0,0,0,2,2,3,-3,Indonesia
3/20/2020,0,3,3,-6,6,13,116,-123,Indonesia
3/20/2020,5,3,1,1,73,38,51,-16,Indonesia
3/20/2020,1,0,1,0,2,0,2,0,Indonesia
3/20/2020,60,7,2,51,369,32,17,320,Indonesia
3/20/2020,1,0,0,1,1,0,0,1,Indonesia
3/20/2020,16,4,0,12,45,8,16,21,Indonesia
3/20/2020,4,0,1,3,17,10,13,-6,Indonesia
3/20/2020,9,0,0,9,30,33,215,-218,Indonesia
3/20/2020,0,0,0,0,7,0,2,5,Indonesia
3/20/2020,0,0,0,0,1,1,0,0,Indonesia
3/20/2020,0,0,0,0,2,0,3,-1,Indonesia
3/20/2020,0,0,0,0,2,0,1,1,Indonesia
3/20/2020,0,0,0,0,3,0,0,3,Indonesia
3/20/2020,0,0,0,0,1,1,0,0,Indonesia
3/21/2020,0,0,0,0,2,2,3,-3,Indonesia
3/21/2020,0,0,2,-2,6,13,118,-125,Indonesia
3/21/2020,8,3,6,-1,81,41,57,-17,Indonesia
3/21/2020,0,0,0,0,2,0,2,0,Indonesia
3/21/2020,81,6,3,72,450,38,20,392,Indonesia
3/21/2020,0,0,0,0,1,0,0,1,Indonesia
3/21/2020,5,0,0,5,50,8,16,26,Indonesia
3/21/2020,1,1,0,0,18,11,13,-6,Indonesia
3/21/2020,9,1,0,8,39,34,215,-210,Indonesia
3/21/2020,0,0,0,0,7,0,2,5,Indonesia
3/21/2020,0,0,0,0,1,1,0,0,Indonesia
3/21/2020,0,0,0,0,2,0,3,-1,Indonesia
3/21/2020,0,0,0,0,2,0,1,1,Indonesia
3/21/2020,0,0,0,0,3,0,0,3,Indonesia
3/21/2020,0,0,0,0,1,1,0,0,Indonesia
3/22/2020,0,0,0,0,2,2,3,-3,Indonesia
3/22/2020,0,2,0,-2,6,15,118,-127,Indonesia
3/22/2020,2,0,3,-1,83,41,60,-18,Indonesia
3/22/2020,0,0,0,0,2,0,2,0,Indonesia
3/22/2020,64,10,9,45,514,48,29,437,Indonesia
3/22/2020,0,0,0,0,1,0,0,1,Indonesia
3/22/2020,3,3,1,-1,53,11,17,25,Indonesia
3/22/2020,1,0,1,0,19,11,14,-6,Indonesia
3/22/2020,14,0,0,14,53,34,215,-196,Indonesia
3/22/2020,0,0,0,0,7,0,2,5,Indonesia
3/22/2020,0,0,0,0,1,1,0,0,Indonesia
3/22/2020,1,0,0,1,1,0,0,1,Indonesia
3/22/2020,2,0,0,2,2,1,1,0,Indonesia
3/22/2020,0,0,0,0,2,0,3,-1,Indonesia
3/22/2020,0,0,0,0,2,0,1,1,Indonesia
3/22/2020,0,0,0,0,3,0,0,3,Indonesia
3/22/2020,0,0,0,0,1,1,0,0,Indonesia
3/23/2020,0,0,0,0,2,2,3,-3,Indonesia
3/23/2020,0,2,3,-5,6,17,121,-132,Indonesia
3/23/2020,0,0,0,0,83,41,60,-18,Indonesia
3/23/2020,0,1,0,-1,2,1,2,-1,Indonesia
3/23/2020,65,1,1,63,579,49,30,500,Indonesia
3/23/2020,0,0,0,0,1,0,0,1,Indonesia
3/23/2020,6,4,0,2,59,15,17,27,Indonesia
3/23/2020,3,0,0,3,22,11,14,-3,Indonesia
3/23/2020,2,1,0,1,55,35,215,-195,Indonesia
3/23/2020,1,0,0,1,8,0,2,6,Indonesia
3/23/2020,0,0,0,0,1,1,0,0,Indonesia
3/23/2020,0,0,0,0,1,0,0,1,Indonesia
3/23/2020,1,0,0,1,1,0,2,-1,Indonesia
3/23/2020,0,0,0,0,2,1,1,0,Indonesia
3/23/2020,0,0,0,0,2,0,3,-1,Indonesia
3/23/2020,0,1,0,-1,2,1,1,0,Indonesia
3/23/2020,0,0,0,0,3,0,0,3,Indonesia
3/23/2020,1,2,0,-1,1,2,1,-2,Indonesia
3/23/2020,0,0,0,0,1,1,0,0,Indonesia
3/24/2020,0,0,0,0,2,2,3,-3,Indonesia
3/24/2020,0,1,3,-4,6,18,124,-136,Indonesia
3/24/2020,16,19,3,-6,99,60,63,-24,Indonesia
3/24/2020,0,0,0,0,2,1,2,-1,Indonesia
3/24/2020,106,6,0,100,685,55,30,600,Indonesia
3/24/2020,0,0,0,0,1,0,0,1,Indonesia
3/24/2020,2,2,2,-2,61,17,19,25,Indonesia
3/24/2020,3,1,1,1,25,12,15,-2,Indonesia
3/24/2020,3,1,0,2,58,36,215,-193,Indonesia
3/24/2020,0,0,0,0,8,0,2,6,Indonesia
3/24/2020,0,0,0,0,1,1,0,0,Indonesia
3/24/2020,0,0,0,0,1,0,0,1,Indonesia
3/24/2020,0,0,0,0,1,0,2,-1,Indonesia
3/24/2020,0,0,0,0,2,1,1,0,Indonesia
3/24/2020,0,0,0,0,2,0,3,-1,Indonesia
3/24/2020,2,0,0,2,4,1,1,2,Indonesia
3/24/2020,0,0,0,0,3,0,0,3,Indonesia
3/24/2020,0,0,0,0,1,2,1,-2,Indonesia
3/24/2020,0,0,0,0,1,1,0,0,Indonesia
3/25/2020,0,0,0,0,2,2,3,-3,Indonesia
3/25/2020,0,1,3,-4,6,19,127,-140,Indonesia
3/25/2020,1,1,0,0,100,61,63,-24,Indonesia
3/25/2020,1,1,0,0,3,2,2,-1,Indonesia
3/25/2020,105,3,1,101,790,58,31,701,Indonesia
