Region;Country;Date;Total_Cases;New_Cases;Total_Death;New_Death
SEA;Indonesia;2020-06-30;56385;1293;2876;71
SEA;Indonesia;2020-07-01;57770;1385;2934;58
SEA;Indonesia;2020-07-02;59394;1624;2987;53
SEA;Indonesia;2020-07-03;60695;1301;3036;49
SEA;Indonesia;2020-07-04;62142;1447;3089;53
SEA;Indonesia;2020-07-05;63749;1607;3171;82
SEA;Indonesia;2020-07-06;64958;1209;3241;70
SEA;Indonesia;2020-07-07;66226;1268;3309;68
SEA;Indonesia;2020-07-08;68079;1853;3359;50
SEA;Indonesia;2020-07-09;70736;2657;3417;58
SEA;Indonesia;2020-07-10;72347;1611;3469;52
SEA;Indonesia;2020-07-11;74018;1671;3535;66
SEA;Indonesia;2020-07-12;75699;1681;3606;71
SEA;Indonesia;2020-07-13;76981;1282;3656;50
SEA;Indonesia;2020-07-14;78572;1591;3710;54
SEA;Indonesia;2020-07-15;80094;1522;3797;87
SEA;Indonesia;2020-07-16;81668;1574;3873;76
SEA;Indonesia;2020-07-17;83130;1462;3957;84
SEA;Indonesia;2020-07-18;84882;1752;4016;59
SEA;Indonesia;2020-07-19;86521;1639;4143;127
SEA;Indonesia;2020-07-20;88214;1693;4239;96
SEA;Indonesia;2020-07-21;89869;1655;4320;81
SEA;Indonesia;2020-07-22;91751;1882;4459;139
SEA;Indonesia;2020-07-23;93657;1906;4576;117
SEA;Indonesia;2020-07-24;95418;1761;4665;89
SEA;Indonesia;2020-07-25;97286;1868;4714;49
SEA;Indonesia;2020-07-26;98778;1492;4781;67
SEA;Indonesia;2020-07-27;100303;1525;4838;57
SEA;Indonesia;2020-07-28;102051;1748;4901;63
SEA;Indonesia;2020-07-29;104432;2381;4975;74
SEA;Indonesia;2020-07-30;106336;1904;5058;83
SEA;Indonesia;2020-07-31;108376;2040;5131;73
SEA;Indonesia;2020-08-01;109936;1560;5193;62
SEA;Indonesia;2020-08-02;111455;1519;5236;43
SEA;Indonesia;2020-08-03;113134;1679;5302;66
SEA;Indonesia;2020-08-04;115056;1922;5388;86
SEA;Indonesia;2020-08-05;116871;1815;5452;64
SEA;Indonesia;2020-08-06;118753;1882;5521;69
SEA;Indonesia;2020-08-07;121226;2473;5593;72
SEA;Indonesia;2020-08-08;123503;2277;5658;65
SEA;Indonesia;2020-08-09;125396;1893;5723;65
SEA;Indonesia;2020-08-10;127083;1687;5765;42
SEA;Indonesia;2020-08-11;128776;1693;5824;59
SEA;Indonesia;2020-08-12;130718;1942;5903;79
SEA;Indonesia;2020-08-13;132816;2098;5968;65
SEA;Indonesia;2020-08-14;135123;2307;6021;53
SEA;Indonesia;2020-08-15;137468;2345;6071;50
SEA;Indonesia;2020-08-16;139549;2081;6150;79
SEA;Indonesia;2020-08-17;141370;1821;6207;57
SEA;Indonesia;2020-08-18;143043;1673;6277;70
SEA;Indonesia;2020-08-19;144945;1902;6346;69
SEA;Indonesia;2020-08-20;147211;2266;6418;72
SEA;Indonesia;2020-08-21;149408;2197;6500;82
SEA;Indonesia;2020-08-22;151498;2090;6594;94
SEA;Indonesia;2020-08-23;153535;2037;6680;86
SEA;Indonesia;2020-08-24;155412;1877;6759;79
SEA;Indonesia;2020-08-25;157859;2447;6858;99
SEA;Indonesia;2020-08-26;160165;2306;6944;86
SEA;Indonesia;2020-08-27;162884;2719;7064;120
SEA;Indonesia;2020-08-28;165887;3003;7169;105
SEA;Indonesia;2020-08-29;169195;3308;7261;92
SEA;Indonesia;2020-08-30;172053;2858;7343;82
SEA;Indonesia;2020-08-31;174796;2743;7417;74
SEA;Indonesia;2020-09-01;177571;2775;7505;88
SEA;Indonesia;2020-09-02;180646;3075;7616;111
SEA;Indonesia;2020-09-03;184268;3622;7750;134
SEA;Indonesia;2020-09-04;187537;3269;7832;82
SEA;Indonesia;2020-09-05;190665;3128;7940;108
SEA;Indonesia;2020-09-06;194109;3444;8025;85
SEA;Indonesia;2020-09-07;196989;2880;8130;105
SEA;Indonesia;2020-09-08;200035;3046;8230;100
SEA;Indonesia;2020-09-09;203342;3307;8336;106
SEA;Indonesia;2020-09-10;207203;3861;8456;120
SEA;Indonesia;2020-09-11;210940;3737;8544;88
SEA;Indonesia;2020-09-12;214746;3806;8650;106
SEA;Indonesia;2020-09-13;218382;3636;8723;73
SEA;Indonesia;2020-09-14;221523;3141;8841;118
SEA;Indonesia;2020-09-15;225030;3507;8965;124
SEA;Indonesia;2020-09-16;228993;3963;9100;135
SEA;Indonesia;2020-09-17;232628;3635;9222;122
SEA;Indonesia;2020-09-18;236519;3891;9336;114
SEA;Indonesia;2020-09-19;240687;4168;9448;112
SEA;Indonesia;2020-09-20;244676;3989;9553;105
SEA;Indonesia;2020-09-21;248852;4176;9677;124
SEA;Indonesia;2020-09-22;252923;4071;9837;160
SEA;Indonesia;2020-09-23;257388;4465;9977;140
SEA;Indonesia;2020-09-24;262022;4634;10105;128
SEA;Indonesia;2020-09-25;266845;4823;10218;113
SEA;Indonesia;2020-09-26;271339;4494;10308;90
SEA;Indonesia;2020-09-27;275213;3874;10386;78
SEA;Indonesia;2020-09-28;278722;3509;10473;87
SEA;Indonesia;2020-09-29;282724;4002;10601;128
SEA;Indonesia;2020-09-30;287008;4284;10740;139
SEA;Indonesia;2020-10-01;291182;4174;10856;116
SEA;Indonesia;2020-10-02;295499;4317;10972;116
SEA;Indonesia;2020-10-03;299506;4007;11055;83
SEA;Indonesia;2020-10-04;303498;3992;11151;96
SEA;Indonesia;2020-10-05;307120;3622;11253;102
SEA;Indonesia;2020-10-06;311176;4056;11374;121
SEA;Indonesia;2020-10-07;315714;4538;11472;98
SEA;Indonesia;2020-10-08;320564;4850;11580;108
SEA;Indonesia;2020-10-09;324658;4094;11677;97
SEA;Indonesia;2020-10-10;328952;4294;11765;88
SEA;Indonesia;2020-10-11;333449;4497;11844;79
SEA;Indonesia;2020-10-12;336716;3267;11935;91
SEA;Indonesia;2020-10-13;340622;3906;12027;92
SEA;Indonesia;2020-10-14;344749;4127;12156;129
SEA;Indonesia;2020-10-15;349160;4411;12268;112
SEA;Indonesia;2020-10-16;353461;4301;12347;79
SEA;Indonesia;2020-10-17;357762;4301;12431;84
SEA;Indonesia;2020-10-18;361867;4105;12511;80
SEA;Indonesia;2020-10-19;365240;3373;12617;106
SEA;Indonesia;2020-10-20;368842;3602;12734;117
SEA;Indonesia;2020-10-21;373109;4267;12857;123
SEA;Indonesia;2020-10-22;377541;4432;12959;102
SEA;Indonesia;2020-10-23;381910;4369;13077;118
SEA;Indonesia;2020-10-24;385980;4070;13205;128
SEA;Indonesia;2020-10-25;389712;3732;13299;94
SEA;Indonesia;2020-10-26;392934;3222;13411;112
SEA;Indonesia;2020-10-27;396454;3520;13512;101
SEA;Indonesia;2020-10-28;400483;4029;13612;100
SEA;Indonesia;2020-10-29;404048;3565;13701;89
SEA;Indonesia;2020-10-30;406945;2897;13782;81
SEA;Indonesia;2020-10-31;410088;3143;13869;87
SEA;Indonesia;2020-11-01;412784;2696;13943;74
SEA;Indonesia;2020-11-02;415402;2618;14044;101
SEA;Indonesia;2020-11-03;418375;2973;14146;102
SEA;Indonesia;2020-11-04;421731;3356;14259;113
SEA;Indonesia;2020-11-05;425796;4065;14348;89
SEA;Indonesia;2020-11-06;429574;3778;14442;94
SEA;Indonesia;2020-11-07;433836;4262;14540;98
SEA;Indonesia;2020-11-08;437716;3880;14614;74
SEA;Indonesia;2020-11-09;440569;2853;14689;75
SEA;Indonesia;2020-11-10;444348;3779;14761;72
SEA;Indonesia;2020-11-11;448118;3770;14836;75
SEA;Indonesia;2020-11-12;452291;4173;14933;97
SEA;Indonesia;2020-11-13;457735;5444;15037;104
SEA;Indonesia;2020-11-14;463007;5272;15148;111
SEA;Indonesia;2020-11-15;467113;4106;15211;63
SEA;Indonesia;2020-11-16;470648;3535;15296;85
SEA;Indonesia;2020-11-17;474455;3807;15393;97
SEA;Indonesia;2020-11-18;478720;4265;15503;110
SEA;Indonesia;2020-11-19;483518;4798;15600;97
SEA;Indonesia;2020-11-20;488310;4792;15678;78
SEA;Indonesia;2020-11-21;493308;4998;15774;96
SEA;Indonesia;2020-11-22;497668;4360;15884;110
SEA;Indonesia;2020-11-23;502110;4442;16002;118
SEA;Indonesia;2020-11-24;506302;4192;16111;109
SEA;Indonesia;2020-11-25;511836;5534;16225;114
SEA;Indonesia;2020-11-26;516753;4917;16352;127
SEA;Indonesia;2020-11-27;522581;5828;16521;169
SEA;Indonesia;2020-11-28;527999;5418;16646;125
SEA;Indonesia;2020-11-29;534266;6267;16815;169
SEA;Indonesia;2020-11-30;538883;4617;16945;130
SEA;Indonesia;2020-12-01;543975;5092;17081;136
SEA;Indonesia;2020-12-02;549508;5533;17199;118
SEA;Indonesia;2020-12-03;557877;8369;17355;156
SEA;Indonesia;2020-12-04;563680;5803;17479;124
SEA;Indonesia;2020-12-05;569707;6027;17589;110
SEA;Indonesia;2020-12-06;575796;6089;17740;151
SEA;Indonesia;2020-12-07;581550;5754;17867;127
SEA;Indonesia;2020-12-08;586842;5292;18000;133
SEA;Indonesia;2020-12-09;592900;6058;18171;171
SEA;Indonesia;2020-12-10;598933;6033;18336;165
SEA;Indonesia;2020-12-11;605243;6310;18511;175
SEA;Indonesia;2020-12-12;611631;6388;18653;142
SEA;Indonesia;2020-12-13;617820;6189;18819;166
SEA;Indonesia;2020-12-14;623309;5489;18956;137
SEA;Indonesia;2020-12-15;629429;6120;19111;155
SEA;Indonesia;2020-12-16;636154;6725;19248;137
SEA;Indonesia;2020-12-17;643508;7354;19390;142
SEA;Indonesia;2020-12-18;650197;6689;19514;124
SEA;Indonesia;2020-12-19;657948;7751;19659;145
SEA;Indonesia;2020-12-20;664930;6982;19880;221
SEA;Indonesia;2020-12-21;671778;6848;20085;205
SEA;Indonesia;2020-12-22;678125;6347;20257;172
SEA;Indonesia;2020-12-23;685639;7514;20408;151
SEA;Indonesia;2020-12-24;692838;7199;20589;181
SEA;Indonesia;2020-12-25;700097;7259;20847;258
SEA;Indonesia;2020-12-26;706837;6740;20994;147
SEA;Indonesia;2020-12-27;713365;6528;21237;243
SEA;Indonesia;2020-12-28;719219;5854;21452;215
SEA;Indonesia;2020-12-29;727122;7903;21703;251
SEA;Indonesia;2020-12-30;735124;8002;21944;241
SEA;Indonesia;2020-12-31;743198;8074;22138;194
SEA;Indonesia;2021-01-01;751270;8072;22329;191
SEA;Indonesia;2021-01-02;758473;7203;22555;226
SEA;Indonesia;2021-01-03;765350;6877;22734;179
SEA;Indonesia;2021-01-04;772103;6753;22911;177
SEA;Indonesia;2021-01-05;779548;7445;23109;198
SEA;Indonesia;2021-01-06;788402;8854;23296;187
SEA;Indonesia;2021-01-07;797723;9321;23520;224
SEA;Indonesia;2021-01-08;808340;10617;23753;233
SEA;Indonesia;2021-01-09;818386;10046;23947;194
SEA;Indonesia;2021-01-10;828026;9640;24129;182
SEA;Indonesia;2021-01-11;836718;8692;24343;214
SEA;Indonesia;2021-01-12;846765;10047;24645;302
SEA;Indonesia;2021-01-13;858043;11278;24951;306
SEA;Indonesia;2021-01-14;869600;11557;25246;295
SEA;Indonesia;2021-01-15;882418;12818;25484;238
SEA;Indonesia;2021-01-16;896642;14224;25767;283
SEA;Indonesia;2021-01-17;907929;11287;25987;220
SEA;Indonesia;2021-01-18;917015;9086;26282;295
SEA;Indonesia;2021-01-19;927380;10365;26590;308
SEA;Indonesia;2021-01-20;939948;12568;26857;267
SEA;Indonesia;2021-01-21;951651;11703;27203;346
SEA;Indonesia;2021-01-22;965283;13632;27453;250
SEA;Indonesia;2021-01-23;977474;12191;27664;211
SEA;Indonesia;2021-01-24;989262;11788;27835;171
SEA;Indonesia;2021-01-25;999256;9994;28132;297
SEA;Indonesia;2021-01-26;1012350;13094;28468;336
SEA;Indonesia;2021-01-27;1024298;11948;28855;387
SEA;Indonesia;2021-01-28;1037993;13695;29331;476
SEA;Indonesia;2021-01-29;1051795;13802;29518;187
SEA;Indonesia;2021-01-30;1066313;14518;29728;210
SEA;Indonesia;2021-01-31;1078314;12001;29998;270
SEA;Indonesia;2021-02-01;1089308;10994;30277;279
SEA;Indonesia;2021-02-02;1099687;10379;30581;304
SEA;Indonesia;2021-02-03;1111671;11984;30770;189
SEA;Indonesia;2021-02-04;1123105;11434;31001;231
SEA;Indonesia;2021-02-05;1134854;11749;31202;201
SEA;Indonesia;2021-02-06;1147010;12156;31393;191
SEA;Indonesia;2021-02-07;1157837;10827;31556;163
SEA;Indonesia;2021-02-08;1166079;8242;31763;207
SEA;Indonesia;2021-02-09;1174779;8700;31976;213
SEA;Indonesia;2021-02-10;1183555;8776;32167;191
SEA;Indonesia;2021-02-11;1191990;8435;32381;214
SEA;Indonesia;2021-02-12;1201859;9869;32656;275
SEA;Indonesia;2021-02-13;1210703;8844;32936;280
SEA;Indonesia;2021-02-14;1217468;6765;33183;247
SEA;Indonesia;2021-02-15;1223930;6462;33367;184
SEA;Indonesia;2021-02-16;1233959;10029;33596;229
SEA;Indonesia;2021-02-17;1243646;9687;33788;192
SEA;Indonesia;2021-02-18;1252685;9039;33969;181
SEA;Indonesia;2021-02-19;1263299;10614;34152;183
SEA;Indonesia;2021-02-20;1271353;8054;34316;164
SEA;Indonesia;2021-02-21;1278653;7300;34489;173
SEA;Indonesia;2021-02-22;1288833;10180;34691;202
SEA;Indonesia;2021-02-23;1298608;9775;35014;323
SEA;Indonesia;2021-02-24;1306141;7533;35254;240
SEA;Indonesia;2021-02-25;1314634;8493;35518;264
SEA;Indonesia;2021-02-26;1322866;8232;35786;268
SEA;Indonesia;2021-02-27;1329074;6208;35981;195
SEA;Indonesia;2021-02-28;1334634;5560;36166;185
SEA;Indonesia;2021-03-01;1341314;6680;36325;159
SEA;Indonesia;2021-03-02;1347026;5712;36518;193
SEA;Indonesia;2021-03-03;1353834;6808;36721;203
SEA;Indonesia;2021-03-04;1361098;7264;36897;176
SEA;Indonesia;2021-03-05;1368069;6971;37026;129
SEA;Indonesia;2021-03-06;1373836;5767;37154;128
SEA;Indonesia;2021-03-07;1379662;5826;37266;112
SEA;Indonesia;2021-03-08;1386556;6894;37547;281
SEA;Indonesia;2021-03-09;1392945;6389;37757;210
SEA;Indonesia;2021-03-10;1398578;5633;37932;175
SEA;Indonesia;2021-03-11;1403722;5144;38049;117
SEA;Indonesia;2021-03-12;1410134;6412;38229;180
SEA;Indonesia;2021-03-13;1414741;4607;38329;100
SEA;Indonesia;2021-03-14;1419455;4714;38426;97
SEA;Indonesia;2021-03-15;1425044;5589;38573;147
SEA;Indonesia;2021-03-16;1430458;5414;38753;180
SEA;Indonesia;2021-03-17;1437283;6825;38915;162
SEA;Indonesia;2021-03-18;1443853;6570;39142;227
SEA;Indonesia;2021-03-19;1450132;6279;39339;197
SEA;Indonesia;2021-03-20;1455788;5656;39447;108
SEA;Indonesia;2021-03-21;1460184;4396;39550;103
SEA;Indonesia;2021-03-22;1465928;5744;39711;161
SEA;Indonesia;2021-03-23;1471225;5297;39865;154
SEA;Indonesia;2021-03-24;1476452;5227;39983;118
SEA;Indonesia;2021-03-25;1482559;6107;40081;98
SEA;Indonesia;2021-03-26;1487541;4982;40166;85
SEA;Indonesia;2021-03-27;1492002;4461;40364;198
SEA;Indonesia;2021-03-28;1496085;4083;40449;85
SEA;Indonesia;2021-03-29;1501093;5008;40581;132
SEA;Indonesia;2021-03-30;1505775;4682;40754;173
SEA;Indonesia;2021-03-31;1511712;5937;40858;104
SEA;Indonesia;2021-04-01;1517854;6142;41054;196
SEA;Indonesia;2021-04-02;1523179;5325;41151;97
SEA;Indonesia;2021-04-03;1527524;4345;41242;91
SEA;Indonesia;2021-04-04;1534255;6731;41669;427
SEA;Indonesia;2021-04-05;1537967;3712;41815;146
SEA;Indonesia;2021-04-06;1542516;4549;41977;162
SEA;Indonesia;2021-04-07;1547376;4860;42064;87
SEA;Indonesia;2021-04-08;1552880;5504;42227;163
SEA;Indonesia;2021-04-09;1558145;5265;42348;121
SEA;Indonesia;2021-04-10;1562868;4723;42443;95
SEA;Indonesia;2021-04-11;1566995;4127;42530;87
SEA;Indonesia;2021-04-12;1571824;4829;42656;126
SEA;Indonesia;2021-04-13;1577526;5702;42782;126
SEA;Indonesia;2021-04-14;1583182;5656;42906;124
SEA;Indonesia;2021-04-15;1589359;6177;43073;167
SEA;Indonesia;2021-04-16;1594722;5363;43196;123
SEA;Indonesia;2021-04-17;1599763;5041;43328;132
SEA;Indonesia;2021-04-18;1604348;4585;43424;96
SEA;Indonesia;2021-04-19;1609300;4952;43567;143
SEA;Indonesia;2021-04-20;1614849;5549;43777;210
SEA;Indonesia;2021-04-21;1620569;5720;44007;230
SEA;Indonesia;2021-04-22;1626812;6243;44172;165
SEA;Indonesia;2021-04-23;1632248;5436;44346;174
SEA;Indonesia;2021-04-24;1636792;4544;44500;154
SEA;Indonesia;2021-04-25;1641194;4402;44594;94
SEA;Indonesia;2021-04-26;1647138;5944;44771;177
SEA;Indonesia;2021-04-27;1651794;4656;44939;168
SEA;Indonesia;2021-04-28;1657035;5241;45116;177
SEA;Indonesia;2021-04-29;1662868;5833;45334;218
SEA;Indonesia;2021-04-30;1668368;5500;45521;187
SEA;Indonesia;2021-05-01;1672880;4512;45652;131
SEA;Indonesia;2021-05-02;1677274;4394;45796;144
SEA;Indonesia;2021-05-03;1682004;4730;45949;153
SEA;Indonesia;2021-05-04;1686373;4369;46137;188
SEA;Indonesia;2021-05-05;1691658;5285;46349;212
SEA;Indonesia;2021-05-06;1697305;5647;46496;147
SEA;Indonesia;2021-05-07;1703632;6327;46663;167
SEA;Indonesia;2021-05-08;1709762;6130;46842;179
SEA;Indonesia;2021-05-09;1713684;3922;47012;170
SEA;Indonesia;2021-05-10;1718575;4891;47218;206
SEA;Indonesia;2021-05-11;1723596;5021;47465;247
SEA;Indonesia;2021-05-12;1728204;4608;47617;152
SEA;Indonesia;2021-05-13;1731652;3448;47716;99
SEA;Indonesia;2021-05-14;1734285;2633;47823;107
SEA;Indonesia;2021-05-15;1736670;2385;47967;144
SEA;Indonesia;2021-05-16;1739750;3080;48093;126
SEA;Indonesia;2021-05-17;1744045;4295;48305;212
SEA;Indonesia;2021-05-18;1748230;4185;48477;172
SEA;Indonesia;2021-05-19;1753101;4871;48669;192
SEA;Indonesia;2021-05-20;1758898;5797;48887;218
SEA;Indonesia;2021-05-21;1764644;5746;49073;186
SEA;Indonesia;2021-05-22;1769940;5296;49205;132
SEA;Indonesia;2021-05-23;1775220;5280;49328;123
SEA;Indonesia;2021-05-24;1781127;5907;49455;127
SEA;Indonesia;2021-05-25;1786187;5060;49627;172
SEA;Indonesia;2021-05-26;1791221;5034;49771;144
SEA;Indonesia;2021-05-27;1797499;6278;49907;136
SEA;Indonesia;2021-05-28;1803361;5862;50100;193
SEA;Indonesia;2021-05-29;1809926;6565;50262;162
SEA;Indonesia;2021-05-30;1816041;6115;50404;142
SEA;Indonesia;2021-05-31;1821703;5662;50578;174
SEA;Indonesia;2021-06-01;1826527;4824;50723;145
SEA;Indonesia;2021-06-02;1831773;5246;50908;185
SEA;Indonesia;2021-06-03;1837126;5353;51095;187
SEA;Indonesia;2021-06-04;1843612;6486;51296;201
SEA;Indonesia;2021-06-05;1850206;6594;51449;153
SEA;Indonesia;2021-06-06;1856038;5832;51612;163
SEA;Indonesia;2021-06-07;1863031;6993;51803;191
SEA;Indonesia;2021-06-08;1869325;6294;51992;189
SEA;Indonesia;2021-06-09;1877050;7725;52162;170
SEA;Indonesia;2021-06-10;1885942;8892;52373;211
SEA;Indonesia;2021-06-11;1894025;8083;52566;193
SEA;Indonesia;2021-06-12;1901490;7465;52730;164
SEA;Indonesia;2021-06-13;1911358;9868;52879;149
SEA;Indonesia;2021-06-14;1919547;8189;53116;237
SEA;Indonesia;2021-06-15;1927708;8161;53280;164
SEA;Indonesia;2021-06-16;1937652;9944;53476;196
SEA;Indonesia;2021-06-17;1950276;12624;53753;277
SEA;Indonesia;2021-06-18;1963266;12990;54043;290
SEA;Indonesia;2021-06-19;1976172;12906;54291;248
SEA;Indonesia;2021-06-20;1989909;13737;54662;371
SEA;Indonesia;2021-06-21;2004445;14536;54956;294
SEA;Indonesia;2021-06-22;2018113;13668;55291;335
SEA;Indonesia;2021-06-23;2033421;15308;55594;303
SEA;Indonesia;2021-06-24;2053995;20574;55949;355
SEA;Indonesia;2021-06-25;2072867;18872;56371;422
SEA;Indonesia;2021-06-26;2093962;21095;56729;358
SEA;Indonesia;2021-06-27;2115304;21342;57138;409
SEA;Indonesia;2021-06-28;2135998;20694;57561;423
SEA;Indonesia;2021-06-29;2156465;20467;58024;463
SEA;Indonesia;2021-06-30;2178272;21807;58491;467
SEA;Indonesia;2021-07-01;2203108;24836;58995;504
SEA;Indonesia;2021-07-02;2228938;25830;59534;539
SEA;Indonesia;2021-07-03;2256851;27913;60027;493
SEA;Indonesia;2021-07-04;2284084;27233;60582;555
SEA;Indonesia;2021-07-05;2313829;29745;61140;558
SEA;Indonesia;2021-07-06;2345018;31189;61868;728
SEA;Indonesia;2021-07-07;2379397;34379;62908;1040
SEA;Indonesia;2021-07-08;2417788;38391;63760;852
SEA;Indonesia;2021-07-09;2455912;38124;64631;871
SEA;Indonesia;2021-07-10;2491006;35094;65457;826
SEA;Indonesia;2021-07-11;2527203;36197;66464;1007
